item_type_id,customer_id,lifetime
288,32,103.056
352,45,318.117
345,45,156.062
345,45,232.907
340,45,228.11399999999998
340,45,228.215
361,45,197.923
340,45,190.158
340,45,232.16299999999998
340,45,251.998
340,45,232.122
340,45,190.22899999999998
345,45,232.898
345,45,191.004
345,45,232.924
345,45,232.99099999999999
345,45,191.046
345,45,232.99399999999997
345,45,233.037
340,45,190.157
340,45,232.141
345,45,233.115
345,45,234.147
285,32,167.89999999999998
285,32,2.64
340,45,251.91500000000002
344,45,234.973
341,45,238.043
341,45,238.10199999999998
341,45,258.077
344,45,197.01999999999998
276,32,138.891
275,32,108.949
276,32,138.894
340,45,232.162
344,45,238.184
352,45,332.21
340,45,228.206
340,45,232.058
341,45,258.072
340,45,252.021
352,45,318.827
340,45,242.845
340,45,242.847
345,45,242.868
289,32,20.820999999999998
345,45,197.927
340,45,251.999
340,45,251.994
345,45,232.94
340,45,190.20800000000003
285,32,121.77900000000001
285,32,248.15300000000002
279,32,108.143
345,45,232.95
295,32,158.10299999999998
341,45,238.11700000000002
284,32,144.857
345,45,233.073
341,45,196.285
345,45,197.986
340,45,232.12199999999999
344,45,314.846
297,32,128.178
277,32,136.916
286,32,155.075
286,32,252.82
285,32,278.806
285,32,6.887
285,32,121.116
285,32,121.116
345,45,252.819
341,45,238.154
340,45,228.147
341,45,238.897
284,32,168.095
341,45,257.777
281,32,136.891
345,45,233.037
345,45,233.125
340,45,190.22899999999998
285,32,125.952
287,32,142.993
283,32,122.9
288,32,44.96
345,45,252.968
345,45,217.832
277,32,179.02
345,45,252.947
286,32,200.79899999999998
286,32,73.935
345,45,156.048
340,45,190.229
286,32,207.04399999999998
340,45,243.02200000000002
285,32,107.94399999999999
340,45,228.234
345,45,233.14100000000002
340,45,251.916
340,45,232.16299999999998
285,32,136.974
287,32,105.887
284,32,103.053
284,32,103.053
340,45,228.177
345,45,242.86700000000002
345,45,232.99099999999999
344,45,238.98000000000002
344,45,238.874
340,45,190.21300000000002
340,45,186.282
284,32,200.797
384,45,317.821
345,45,197.982
340,45,232.162
340,45,186.281
340,45,200.916
345,45,197.94
289,32,200.796
345,45,232.951
345,45,156.037
340,45,186.221
286,32,104.625
289,32,155.01999999999998
282,32,106.89
285,32,167.802
345,45,197.988
345,45,156.039
284,32,58.85
340,45,248.069
345,45,156.042
340,45,186.301
284,32,51.894999999999996
345,45,197.98399999999998
344,45,238.211
284,32,51.895
284,32,122.028
284,32,278.799
345,45,198.003
285,32,263.841
284,32,122.027
345,45,198.003
345,45,198.003
345,45,156.042
345,45,197.96300000000002
345,45,198.006
355,45,317.902
345,45,156.061
345,45,156.061
345,45,198.006
345,45,197.958
285,32,142.953
345,45,197.96699999999998
285,32,258.862
288,32,110.149
345,45,156.063
345,45,197.985
345,45,197.985
284,32,197.06300000000002
285,32,122.026
285,32,167.802
276,32,138.894
283,32,283.94899999999996
284,32,126.931
278,32,136.894
345,45,233.123
344,45,198.039
284,32,77.996
340,45,228.17499999999998
344,45,198.058
345,45,309.908
285,32,51.894000000000005
340,45,228.215
345,45,233.105
344,45,198.04500000000002
350,45,318.111
285,32,122.026
341,45,315.043
340,45,228.193
340,45,228.165
286,32,112.04
353,45,316.019
340,45,309.10900000000004
345,45,232.924
344,45,198.077
345,45,233.156
344,45,275.038
344,45,198.087
353,45,197.164
344,45,156.204
345,45,217.841
340,45,228.16299999999998
344,45,198.152
345,45,217.82100000000003
340,45,190.207
340,45,190.214
340,45,190.159
345,45,217.834
345,45,319.798
352,45,321.90500000000003
340,45,186.22199999999998
340,45,186.222
340,45,228.155
340,45,228.155
340,45,228.154
340,45,228.114
340,45,305.101
340,45,228.114
340,45,228.155
340,45,228.155
340,45,228.122
340,45,186.23
340,45,186.22899999999998
340,45,228.155
348,45,318.00699999999995
340,45,228.114
340,45,228.155
340,45,228.155
340,45,228.114
340,45,228.155
340,45,228.155
340,45,186.222
297,32,52.885999999999996
340,45,228.155
340,45,228.155
340,45,228.16299999999998
340,45,186.221
340,45,228.12300000000002
340,45,228.166
340,45,228.125
340,45,228.166
340,45,228.166
340,45,228.166
340,45,228.125
340,45,228.166
340,45,228.16500000000002
340,45,186.232
340,45,228.166
340,45,228.177
340,45,228.177
340,45,228.177
340,45,186.244
345,45,156.04000000000002
340,45,186.244
340,45,228.177
340,45,228.177
340,45,228.137
340,45,248.01999999999998
